name	l:label	uid	type	obtainable	command	label	entity:string_array
peking garden	ParentGroup	8638	parent_group				
lunch specials	Group	N889	group				
l1.  chicken chow mein lunch special	Item,Obtainable,l1.  chicken chow mein lunch special	N890	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l1.  chicken chow mein lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l1.  chicken chow mein lunch special	
	Token,~NoTag		token			l1	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,~NoTag		token			chow	~NoTag
	Token,~NoTag		token			mein	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l1. chicken lo mein lunch special	Item,Obtainable,l1. chicken lo mein lunch special	N891	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l1. chicken lo mein lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l1. chicken lo mein lunch special	
	Token,~NoTag		token			l1	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,~NoTag		token			lo	~NoTag
	Token,~NoTag		token			mein	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l2.  shrimp chow mein lunch special	Item,Obtainable,l2.  shrimp chow mein lunch special	N892	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l2.  shrimp chow mein lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l2.  shrimp chow mein lunch special	
	Token,~NoTag		token			l2	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,~NoTag		token			chow	~NoTag
	Token,~NoTag		token			mein	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l2. shrimp lo mein lunch special	Item,Obtainable,l2. shrimp lo mein lunch special	N893	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l2. shrimp lo mein lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l2. shrimp lo mein lunch special	
	Token,~NoTag		token			l2	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,~NoTag		token			lo	~NoTag
	Token,~NoTag		token			mein	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
