start	end	type	unit	value	param
155224	1	has		2014-12-03 11:00:00	
155224	2	has		dc	
155224	13	has		peking-garden-18th-nw-st	
155224	4	has		Chinese	
155224	5	has		0	
155224	6	has		restaurant	
155224	7	has		2008 18th NW St	
155224	42	has		2006-09-13	
155224	37	has		-77.041815	
155224	11	has		Washington	
155224	12	has		0	
155224	14	has		20009	
155224	15	has		0	
155224	17	has		DC	
155224	18	has		38.917486	
155224	20	has		Restaurant	
155224	22	has		0	
155224	24	has		https://www.delivery.com/#!/cities/dc/categories/restaurant/peking-garden-18th-nw-st	
155224	27	has		202-588-0088	
155224	43	has		credit,gift card,promotions,cash	
155224	32	has		https://static.delivery.com/merchant_logo.php?id=8638	
155224	38	has			
155224	36	has			
155224	10	has			
155224	28	has		2014-12-03 11:00:00	
155224	9	has		0	
155224	41	has		Bet. California St. & Vemon St.	
0	155224	says			
155225	20	has		menu	
155225	10	has		All served with egg roll and fried rice.	
155225	44	has		"[u'{""to"": ""2014-12-08T20:30:00+0000"",""from"": ""2014-12-08T16:00:00+0000"",""day"": ""Monday"",}', u'{""to"": ""2014-12-09T20:30:00+0000"",""from"": ""2014-12-09T16:00:00+0000"",""day"": ""Tuesday"",}', u'{""to"": ""2014-12-03T20:30:00+0000"",""from"": ""2014-12-03T16:00:00+0000"",""day"": ""Wednesday"",}', u'{""to"": ""2014-12-04T20:30:00+0000"",""from"": ""2014-12-04T16:00:00+0000"",""day"": ""Thursday"",}', u'{""to"": ""2014-12-05T20:30:00+0000"",""from"": ""2014-12-05T16:00:00+0000"",""day"": ""Friday"",}']"	
155224	155225	contains_group			
155226	10	has			
155226	45	has	usd	6.25	
155226	46	has		1	
155226	47	has		25	
155226	48	has		1	
155226	20	has		item	
155226	49	has		6.25	
155225	155226	says			
155224	155226	has_obtainable			
155226	155227	token			
155226	155229	has_token			
155226	155230	has_token			
155226	155231	has_token			
155226	155232	has_token			
155226	155233	has_token			
155226	155234	has_token			
155226	155235	has_token			
155227	155228	CommandNet>Relation			
155228	155236	CommandNet>Relation			
155228	155229	CommandNet>Relation			
155228	155230	CommandNet>Relation			
155228	155232	CommandNet>Relation			
155228	155233	CommandNet>Relation			
155228	155235	CommandNet>Relation			
155236	155234	CommandNet>Relation			subject
155236	155231	CommandNet>Relation			subject
155237	10	has			
155237	45	has	usd	6.25	
155237	46	has		1	
155237	47	has		25	
155237	48	has		1	
155237	20	has		item	
155237	49	has		6.25	
155225	155237	says			
155224	155237	has_obtainable			
155237	155238	token			
155237	155240	has_token			
155237	155241	has_token			
155237	155242	has_token			
155237	155243	has_token			
155237	155244	has_token			
155237	155245	has_token			
155237	155246	has_token			
155238	155239	CommandNet>Relation			
155239	155247	CommandNet>Relation			
155239	155240	CommandNet>Relation			
155239	155241	CommandNet>Relation			
155239	155243	CommandNet>Relation			
155239	155244	CommandNet>Relation			
155239	155246	CommandNet>Relation			
155247	155245	CommandNet>Relation			subject
155247	155242	CommandNet>Relation			subject
155248	10	has			
155248	45	has	usd	6.25	
155248	46	has		1	
155248	47	has		25	
155248	48	has		1	
155248	20	has		item	
155248	49	has		6.25	
155225	155248	says			
155224	155248	has_obtainable			
155248	155249	token			
155248	155251	has_token			
155248	155252	has_token			
155248	155253	has_token			
155248	155254	has_token			
155248	155255	has_token			
155248	155256	has_token			
155248	155257	has_token			
155249	155250	CommandNet>Relation			
155250	155258	CommandNet>Relation			
155250	155251	CommandNet>Relation			
155250	155252	CommandNet>Relation			
155250	155254	CommandNet>Relation			
155250	155255	CommandNet>Relation			
155250	155257	CommandNet>Relation			
155258	155256	CommandNet>Relation			subject
155258	155253	CommandNet>Relation			subject
155259	10	has			
155259	45	has	usd	6.25	
155259	46	has		1	
155259	47	has		25	
155259	48	has		1	
155259	20	has		item	
155259	49	has		6.25	
155225	155259	says			
155224	155259	has_obtainable			
155259	155260	token			
155259	155262	has_token			
155259	155263	has_token			
155259	155264	has_token			
155259	155265	has_token			
155259	155266	has_token			
155259	155267	has_token			
155259	155268	has_token			
155260	155261	CommandNet>Relation			
155261	155269	CommandNet>Relation			
155261	155262	CommandNet>Relation			
155261	155263	CommandNet>Relation			
155261	155265	CommandNet>Relation			
155261	155266	CommandNet>Relation			
155261	155268	CommandNet>Relation			
